Title,Description,Genres,Poster_URL
Hangmen,"Rob Greene has information about an undercover terror team inside the CIA led by Joe Connelly. To stay alive with the knowledge, he is advised to stay undercover by his supervisor Andrews. Connelly's men try to kill Greene, but he can escape and warns his son Danny that he also may be in danger and that he should look for Dog Thompson.","Action, Thriller, Adventure",https://image.tmdb.org/t/p/w500/gtSD18nFsPjOz2AnFVOoiUWHTf6.jpg
Cleveland Abduction,"A single mother becomes Ariel Castro's first kidnapping victim, and finds herself trapped in his home with two other women for 11 years.","Drama, Crime, TV Movie",https://image.tmdb.org/t/p/w500/uo1OCJrh2fErmuSdrz4gVw67q5n.jpg
Lancelot: Guardian of Time,"Lancelot is sent through time by Merlin to protect young Arthur before he becomes King of Camelot, but by accident, they both end up in present day world along with the villains. Only technology can help them now.","Action, Adventure, Fantasy",https://image.tmdb.org/t/p/w500/x8UMVQI8hJCcwiAdWFeBTX5dUvJ.jpg
Legionnaire,"Alain Lefevre is a boxer paid by a Marseille mobster to take a dive. When he wins the fight he attempts to flee to America with the mobster's girlfriend Katrina. This plan fails and he seeks escape by joining the foreign legion. As part of the legion he tangles with abusive lieutenant Steinkampf and bonds with legionnaires Luther, Mackintosh and Rosetti.","Action, War, Adventure, History",https://image.tmdb.org/t/p/w500/vHezb1DIEB3DyBx9gp914y03yAG.jpg
When Michael Calls,"A woman begins to receive ominous phone calls from her nephew, who died 15 years earlier. With each phone call, a family member dies. Will she be the next in line?","Horror, Thriller, TV Movie",https://image.tmdb.org/t/p/w500/cFRLSH8kywrO2RqDXRx1K6kjMB6.jpg
Gods and Monsters,"It's 1957, and James Whale's heyday as the director of ""Frankenstein,"" ""Bride of Frankenstein"" and ""The Invisible Man"" is long behind him. Retired and a semi-recluse, he lives his days accompanied only by images from his past. When his dour housekeeper, Hannah, hires a handsome young gardener, the flamboyant director and simple yard man develop an unlikely friendship, which will change them forever.",Drama,https://image.tmdb.org/t/p/w500/xhaZ2nKL9VtqfYQ9Ss4Azxc2E3F.jpg
Shampoo,A Beverly Hills hairdresser runs around town on the eve of the 1968 presidential election trying to make heads or tails of his financial and romantic entanglements. His attempts to gather the money to open his own salon are continually side-tracked by the distractions presented by his many lovers.,"Comedy, Drama",https://image.tmdb.org/t/p/w500/6jmFvXPV6OhtX3AkAVnH7rwdeUJ.jpg
The Mortuary Collection,"In the phantasmagorical town of Raven's End, a misguided young girl takes refuge in a decrepit old mortuary. The eccentric undertaker chronicles the strange history of the town through a series of twisted tales, each more terrifying than the last, but the young girl's world is unhinged when she discovers that the final story... is her own.","Fantasy, Horror",https://image.tmdb.org/t/p/w500/5WXeYnezavNI6hXH74aQYv6yFzj.jpg
The Tiger,"In 1925 Korea, Japanese rulers demand the last remaining tiger be killed. The tiger easily defeats his pursuers until a legendary hunter takes him on.","Action, History, Adventure, Drama",https://image.tmdb.org/t/p/w500/tPI6t2Cvu7vWO9iDs4Cigq8svWl.jpg
The Double,"The mysterious murder of a US senator bearing the distinctive trademark of the legendary Soviet assassin 'Cassius', forces retired CIA operative, Paul Shepherson to team with rookie FBI agent, Ben Geary  to solve the crime. Having spent his career chasing Cassius, Shepherdson is convinced his nemesis is long dead, but is pushed to take on the case by his former supervisor, Tom Highland. Geary, who wrote his Master's thesis on Shepherdson's pursuit of the Soviet killer, is certain that Cassius has resurfaced.","Action, Drama, Crime",https://image.tmdb.org/t/p/w500/t4W10sjJSDAWRUDn2Kb8DQKxiZv.jpg
